,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
0,"Charger Logistics Inc
3.6",Data Scientist,Querétaro,"Description
Charger Logistics is a world class asset-based carrier. We specialize in delivering assets, on time and on budget. With the diverse fleet of equipment, we can handle a range of freight, including dedicated loads, specialized hauls, temperature-controlled goods and HAZMAT cargo. We invest our time and support the employees to provide them with the room to learn and grow their expertise and work their way up. We are entrepreneurial-minded organization that welcomes and support individual idea and strategies.
We are looking for a Data Scientist who uses a combination of techniques from statistics, machine learning, computer science and data visualization to produce advanced predictive analytic solutions that determine patterns and relationships in large volumes of data to predict future behaviors, events and outcomes. The candidate will work cross-functionally with technical and non-technical teams to take on a variety of tasks including but not limited to mining data, building models, building dashboards, and conducting detailed analysis. The ideal candidate will have a analytical mindset, deep understanding of databases, visualization, and modeling techniques, and the ability to thrive in a dynamic, fast-paced environment delivering against tight deadlines.
Responsibilities:
Understand the business requirements and processes around advanced analytics model execution.
Collect data from disparate structured and unstructured sources in support of model development.
Extract data using data mining techniques to uncover trends and derive insights; analyze forecasting metrics,
Perform exploratory data analysis with the goal to uncover trends, find root causes of forecast inaccuracies and develop innovative features that can drive additional value
Build machine learning models with advanced analytics techniques to extend our capabilities and deliver new business value.
Capture and present data-driven business insights
Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation and model implementation
Work closely with software engineering teams to drive real-time model implementations and new feature creations
Leverage existing data sources, identify and mine data from new sources, identify opportunities for and execute primary data gathering efforts, and provide recommendations on scaling new methods more broadly
Requirements
University degree or equivalent in data analytics, statistics, math, or computer science, with a minimum of 3 years relevant experience.
Must have experience with cloud offerings such as Azure Data Lake/ Data bricks/ AWS ML AI services.
Experience on Azure ML Studio is Preferred.
Excellent analytical, storytelling, and problem-solving skills.
Ability to translate/communicate analytics recommendations to both technical and nontechnical team members.
Strong understanding of quantitative (univariate and multivariate) analysis techniques.
Experience with predictive modelling and machine learning.
Strong experience with statistical analytical techniques, data mining, machine learning, and predictive models using Python, R or similar tools
Experience using scripting language for collecting, organizing and manipulating data.
Ability to work with data with significant ambiguity, develop creative approaches to analytical problems, and interpret data and results from a business/industry perspective
Benefits
International training
Competitive Salary
Life insurance
Healthcare Benefit Package
Career Growth
Savings fund
Food coupons
Performance bonus
Tipo de puesto: Por tiempo indeterminado, Tiempo completo
Horario:
Turno de 8 horas
Prestaciones:
Seguro de gastos médicos mayores
Seguro de vida
Vales de despensa
Puede trasladarse/mudarse:
Querétaro, Qro.: Trasladarse al trabajo sin problemas o planear mudarse antes de comenzar a trabajar (Obligatorio)
Lugar de trabajo: Empleo presencial
Mostrar menos
Reportar",#N/A,De 1001 a 5000 empleados,Empresa - privada,Transporte y logística,Servicios de taxi y de transporte privado de pasajeros,2005,De $5 a $25 millones (USD)
1,"HSBC
3.9",Junior Data Scientist,México,"Job description
If you’re looking for a career where you can make a real impression, join GSC HSBC and discover how valued you’ll be.
HSBC is one of the largest banking and financial services organisations in the world, with operations in 64 countries and territories. We aim to be where the growth is, enabling businesses to thrive and economies to prosper, and, ultimately, helping people to fulfil their hopes and realise their ambitions.
We are currently seeking an experienced professional to join our team in the role of Junior Data Scientist
We welcome candidates to
Mostrar menos
Reportar",#N/A,Más de 10 000 empleados,Empresa - pública,Finanzas,Banca y Servicios de crédito,1865,Más de $10 000 millones (USD)
2,"Altair
4.3",Ingeniero Quality Assurance SW,Naucalpan,"¿Te gustan los retos y eres un pensador complejo al que le gusta resolver problemas?
Si es así, entonces podrías ser el siguiente Ingeniero de Quality Assurance que estamos buscando.
Formarás parte de un equipo de desarrollo ágil que construye y trabaja en sistemas de software de nivel empresarial sobre la pila de desarrollo Microsoft .NET, JAVA Enterprise y SQL.
El miembro de QA está involucrado en la fase de pruebas de la metodología SCRUM, asegurando que toda la aplicación funciona como su supone, detectando errores y reportarlos en una base semanal, así como crear casos de prueba que les ayudará a probar cada una de las características del programa. Ayudará no sólo a probar las aplicaciones de software, sino también a probar el NI Software que desarrolla el HiL Team.
Esquema: Híbrido (acudir al menos una vez por semana a las oficinas de Ford GTBC ubicado en Naucalpan)
Requisitos:
Licenciatura en Informática o disciplina relacionada (contar con título y cédula profesional indispensable)
+3 Años de experiencia en un área de QA SW.
Disponibilidad para esquema híbrido (indispensable)
Comprensión y adaptación a nuevos frameworks y tecnologías.
Nivel avanzado de inglés (indispensable)
Sólidos conocimientos de MS Office.
Comprensión de conceptos de consulta de bases de datos relacionales.
+1 año de uso de JIRA.
Sólidos conocimientos de Web Services.
Postman o similar para pruebas de API.
Conocimiento y uso de marcos ágiles como SCRUM.
Actividades y responsabilidades:
Crear y mantener casos de prueba y matriz de pruebas.
Realizar múltiples tipos de pruebas (integration, smoke tests, functional, gray & black box test, etc).
Ejecución de casos de prueba.
Probar API REST y SOAP.
Informar de los resultados de la ejecución e informar de los defectos encontrados.
Seguimiento y aprobación de los defectos notificados.
Creación y mantenimiento de conjuntos de casos de prueba.
Dar el visto bueno a las versiones de software.
Comunicación con usuarios y desarrolladores.
Crear y mantener documentación para proyectos de software.
Proponer mejoras en el proceso y las actividades de prueba.
Participar en scrums diarios.
Colaborar con miembros de regiones externas.
Why Work with Us:
Altair is a global technology company providing software and cloud solutions in the areas of product development, high-performance computing (HPC) and artificial intelligence (AI). Altair enables organizations in nearly every industry to compete more effectively in a connected world, while creating a more sustainable future. With more than 3,000 engineers, scientists, and creative thinkers in 25 countries, we help solve our customer’s toughest challenges and deliver unparalleled service, helping the innovators innovate, drive better decisions, and turn today’s problems into tomorrow’s opportunities.
Our vision is to transform customer decision making with data analytics, simulation, and high-performance computing and artificial intelligence (AI).
For more than 30 years, we have been helping our customers integrate electronics and controls with mechanical design to expand product value, develop AI, simulation and data-driven digital twins to drive better decisions, and deliver advanced HPC and cloud solutions to support unlimited idea exploration. To learn more, please visit altair.com.
Ready to go? #ONLYFORWARD
Tipo de puesto: Tiempo completo
Pregunta(s) de postulación:
¿Cuántos años de experiencia tienes en QA?
¿Cuál es tu rango de sueldo deseado?
¿Cuentas con nivel de Inglés avanzado conversacional?
¿Cuentas con título y cédula profesional?
Esta vacante es modalidad híbrida, por lo que deberás acudir al menos una vez por semana a las oficinas de Ford GTBC ubicado en Naucalpan, ¿tienes disponibilidad?
Lugar de trabajo: remoto híbrido en 53126, Naucalpan, Méx.
Mostrar menos
Reportar",#N/A,De 1 a 50 empleados,Empresa - privada,#N/A,#N/A,#N/A,Desconocido/no corresponde
3,"Altair
4.3",Intermediate Fullstack Cloud Engineer,Ciudad de México,"Intermediate Fullstack Cloud Engineer
Job Summary:
Do you like a challenge, are you a complex thinker who likes to solve problems? If so, then you might be the new Intermediate Fullstack Cloud Engineer we are searching for. At Altair, your curiosity matters. We pride ourselves on a business culture that enables open, creative thinking, and we deeply value our employees and their contributions towards our clients' success, as well as our own.
What You Will Do:
We are looking for an exceptional Fullstack Cloud Engineer to join our talented engineering team! Our Client delivers automotive technology software to solve the hard problems that allows customers to efficiently safely to get their work done. As a top-notch full stack developer, you will play a vital role in designing, developing, and maintaining our proprietary software solution.
You will apply the current skills that you already have and will be constantly challenged to improve. You will go deep on various areas of development and engineering, which can include Devops, Site Reliability Engineering, API services, data processors and frontend development. We use a modern development toolchain Intellij, GitHub, Jenkins, Redis, Postman, Grafana, Confluence, and Jira.
Develop quality, maintainable, and efficient code while adhering to coding standards and best practices.
Be a reliable team member willing to take on tasks and solve problems both independently and in collaboration with team members.
Deliver code quality to the repository and test those changes in the environments on a continual basis using a lean flow process.
What You Will Need:
Basics:
Bachelor's degree in Computer Science, Engineering or related field.
2+ years of experience as fullstack background with experience in Google Cloud Platform, Java, Spring, Javascript, HTML.
Development of backend and frontend modules.
Integration of data storage solutions MySQL.
Management and development of web applications in Google Cloud (Google App Engine).
Experience architecting applications, databases, web services, or integrations.
Strong communication skills with the ability to clearly understand and express complex ideas.
Experience with cloud based software on GCP, AWS or Azure.
Demonstrated experience in Java, Javascript, Kotlin, Typescript.
Proficiency in PHP, SQL, MySQL, HTML5, CSS, JavaScript, Bootstrap.
Preferred:
Experience with Spring Boot and Spring Data JPA.
5+ years of experience as a Software Developer with a focus on building web applications.
Experience with infrastructure as code, build pipelines and containerization.
Development of web applications on Google Cloud Platform (GCP).
How You Will Be Successful:
Envision the Future
Communicate Honestly and Broadly
Seek Technology and Business “Firsts”
Embrace Diversity and Take Risks
What We Offer:
Christmas Bonus (1 month)
Holidays (12 days)
Paid holidays (75% prima vacacional)
Flex Time
Saving Fund
Pantry vouchers
Health insurance (Seguro de gastos médicos mayores, seguro dental, visión, de vida, accidente e invalidez).
PTU
Why Work with Us:
Altair is a global technology company that provides software and cloud solutions in the areas of data analytics, product development, and high-performance computing (HPC). Altair enables organizations in nearly every industry to compete more effectively in a connected world, while creating a more sustainable future. With more than 3,000 engineers, scientists and creative thinkers in 25 countries, we help solve our customer’s toughest challenges and deliver unparalleled service, helping the innovators innovate, drive better decisions, and turn today’s problems into tomorrow’s opportunities.
Our vision is to transform customer decision making with data analytics, simulation, and high-performance computing.
For more than 30 years, we have been helping our customers integrate electronics and controls with mechanical design to expand product value, develop AI, simulation and data-driven digital twins to drive better decisions, and deliver advanced HPC and cloud solutions to support unlimited idea exploration.
To learn more, please visit altair.com. Ready to go? #ONLYFORWARD
Tipo de puesto: Tiempo completo, Por tiempo indeterminado
Salario: $60,000.00 - $80,000.00 al mes
Horario:
Lunes a viernes
Turno de 8 horas
Turno matutino
Prestaciones:
Estacionamiento de la empresa
Estacionamiento gratuito
Horarios flexibles
Seguro de la vista
Seguro dental
Seguro de vida
Vacaciones adicionales o permisos con goce de sueldo
Vales de despensa
Educación:
Licenciatura terminada (Deseable)
Experiencia:
AWS: 2 años (Obligatorio)
JavaScript: 2 años (Obligatorio)
MySQL: 2 años (Obligatorio)
Desarrolladores: 5 años (Obligatorio)
Idioma:
Inglés (Obligatorio)
Lugar de trabajo: remoto híbrido en 04000, Ciudad de México, CDMX
Mostrar menos
Reportar","$70,000 /mes (est.)",De 1 a 50 empleados,Empresa - privada,#N/A,#N/A,#N/A,Desconocido/no corresponde
4,"WITHIN
3.3",Junior Data Scientist (AI Focused) - MX,Ciudad de México,"About Us:
WITHIN is the world's first Performance Branding company, partnering with some of the biggest brands in the world to drive business growth through innovative marketing strategies. Our integrated operating model collapses the traditional marketing silos between creative and media, performance and brand, and across media channels. With a full suite of offerings including media, creative, SEO, Lifecycle, Retail Media, Affiliate and Influencer, we're able to work with our brand partners in an integrated fashion, allowing us to align marketing strategies back to core business objectives. Client teams at WITHIN are trained on how to always act as a trusted business partner, acting as a fiduciary to client needs above our own.
Teams at WITHIN have the ability to work with iconic brands such as The North Face, Timberland, Movado Watches and Jose Cuervo. Everyone at WITHIN wants to grow and be challenged. It's a collaborative place made up of small, closely knit and versatile teams that are fast and adaptive to solve problems and build systems.
Please submit your resume in English.

About the Role: We are seeking for a talented and motivated Junior Data Scientist to work directly with our leadership team. As a Junior AI Developer, you will be responsible for building AI-driven solutions and integrating them into our company-wide initiatives. You will work closely with our Operations, Digital, Data, and Developers teams to create and implement cutting-edge AI technologies that will help our agency drive value and automation to every role.
Responsibilities include but are not limited to;
Work directly with our leadership team to develop AI-driven solutions that drive value and automation to every role.
Collaborate with our Operations, Data, and Developers teams to design and build AI models and algorithms to drive predictive and prescriptive analytics for our agency.
Explore and implement new technologies and tools to improve the efficiency and accuracy of our AI solutions.
Write clean, efficient, and well-documented code.
Stay up-to-date with the latest developments in AI research and technologies.
Collaborate with cross-functional teams including designers, copywriters, project managers, and account managers.
Participate in company-wide initiatives that drive value and automation to every role.
Requirements
Bachelor's or Master's degree in computer science, mathematics, physics, data science, artificial intelligence, or a related field.
Experience or knowledge leveraging new and existing AI/NLP/ML/LLM technologies to build solutions
Experience in building APIs across different platforms
Experience building and maintaining databases
Knowledge of machine learning techniques and frameworks such as TensorFlow, Keras, and PyTorch.
Experience with programming languages such as Python, Java, or C++.
Understanding of data structures, algorithms, and software design principles.
Familiarity with cloud computing platforms such as AWS, Azure, or Google Cloud Platform.
Excellent problem-solving skills and attention to detail.
Strong communication skills and the ability to work in a team environment.
Ability to learn and adapt quickly in a fast-paced environment.
Passion for technology and a curiosity to learn new things.
Showcase your AI expertise: For this AI-focused role, we are seeking candidates who have a strong understanding of AI concepts and have experience in applying those concepts to real-world problems. As part of the application process, we are requiring that you tell us about a recent AI project that you created, and optionally submitting that project that demonstrates your AI expertise.
We offer a competitive salary and benefits based on ability level, including:
Base salary DOE
Unlimited vacation policy
Monthly phone/internet and food stipend
Health insurance coverage
Professional Development Program
Remote work (this is a remote role, but must be based in Mexico City)
Mostrar menos
Reportar",#N/A,De 201 a 500 empleados,Empresa - privada,Audiovisual y medios de comunicación,Publicidad y Relaciones públicas,2015,Desconocido/no corresponde
5,VinkOS,Data Scientist,Trabajo desde casa,"En VinkOS somos una empresa especializada en consultoría en Big Data, realizamos desde arquitecturas, administración de base de datos, pipelines de ingesta, modelos de análisis, hasta capacitación en herramientas de Big Data.
Seguimos en crecimiento, y en esta ocasión estamos en busca de nuestros nuevos Data Scientist para crecer junto a nuestro equipo de ciencia de datos, en proyectos, desde Telecomunicaciones, logística, riesgo crediticio, Fintech y muchos ámbitos más.
EL objetivo de este proyecto es incursionarlos en la teoría de grafos para Big Data, ya que trabajaremos con bases de datos de grafos Neo4J.
Un plus es que hayan trabajado todo el proceso de creación de modelos en la nube.
La experiencia que buscamos en nuestros nuevos integrantes es:
Conocimiento en SQL intermedio - avanzado.
Conocimiento de bases de datos no relacionales (Plus).
Experiencia en proyectos de integración de datos.
Sólidos conocimientos en procesos ETL.
Experiencia previa en modelos de ciencia de datos.
Manejo de Python y R
Además ofrecemos de manera gratuita cursos y certificaciones directamente con nuestros proveedores (Pentaho, Cloudera Neo4J)
No lo pienses más y únete al equipo innovador de VinkOS.
¡Postula ya!
Tipo de puesto: Tiempo completo
Salario: $20,073.44 - $30,032.33 al mes
Horario:
Turno de 10 horas
Prestaciones:
Seguro de vida
Tipos de compensaciones:
Bono de productividad
Educación:
Licenciatura terminada (Deseable)
Lugar de trabajo: Empleo remoto
Mostrar menos
Reportar","$25,053 /mes (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6,TODO EN SUBASTAS,Desarrollador / Programador en Python con experiencia en Data Scientist,Trabajo desde casa,"Empresa con trayectoria en el mercado mexicano y mercado internacional. Por expansión y crecimiento, buscamos incorporar nuevos profesionales a nuestro equipo que deseen participar en proyectos desafiantes e innovadores en el desarrollo y programación de sistemas así como de aplicaciones por internet
Requisitos
Carrera: Ingeniería en Tecnologías de Software, Ingeniero Administrador de Sistemas y Licenciado en Ciencias Computacionales, o carreras afines.
Inglés: Intermedio
Experiencia necesaria en el uso de herramientas de análisis de datos: Pandas, Numpy, TheFuzz, SQL, etc
Experiencia deseada: Selenium, MongoDB, Webscraping (Python), BS4, Selenium, Request, Robocorp, RPA,
Actividades a desarrollar:
Extracción y consolidación de bases de datos provenientes de diferentes orígenes y sistemas.
Análisis de calidad de información, tratamiento de datos, aplicación de algoritmos de reemplazo.
Inteligencia analítica para la creación y transformación de nuevas variables a partir de data cruda.
Desarrollo y seguimiento de modelos matemáticos - estadísticos en diversas técnicas de clasificación tanto supervisadas como no supervisadas.
Seguimiento y monitoreo al correcto funcionamiento e implementación de modelos estadísticos.
Recopilar, analizar e interpretar grandes conjuntos de datos complejos para identificar patrones y tendencias de ayuda a la empresa.
Conocimientos en estadística, probabilidad y álgebra lineal.
En esta posición podrás:
Realizar análisis exploratorios de datos y visualizaciones para entender las características y patrones de los datos.
Desarrollar modelos predictivos y prescriptivos utilizando técnicas estadísticas y algoritmos de aprendizaje automático.
Diseñar experimentos y pruebas para validar modelos y soluciones analíticas.
Colaborar con equipos de ingeniería y tecnología para implementar modelos y soluciones analíticas en la plataforma de la empresa.
OFRECEMOS:
Contratación: Permanente
Horario: Tiempo completo
Espacio de trabajo: Home office
Salario: de $13,000 a $16,000
Prestaciones de ley (IMSS, vacaciones, aguinaldo)
Plan de carrera y crecimiento
Excelente ambiente de trabajo
Tipo de puesto: Tiempo completo
Salario: $13,000.00 - $16,000.00 al mes
Horario:
Turno de 8 horas
Educación:
Licenciatura terminada (Deseable)
Experiencia:
Análisis de datos: 1 año (Deseable)
Idioma:
Inglés (Deseable)
Lugar de trabajo: Empleo remoto
Mostrar menos
Reportar","$14,500 /mes (est.)",No se sabe,Empresa - privada,#N/A,#N/A,#N/A,Desconocido/no corresponde
7,Talexa Reclutamiento,Machine Learning Python Engineer (NLP Experience Required),Trabajo desde casa,"Are you looking to expand your career into Machine Learning or as a Data Scientist?
Have you worked with NLP and implemented it?
Are you a talented Python developer based in Mexico and could work full-time within the PST time zone?
Join the team remotely for San Francisco-based company from Mexico!!!
An exclusive opportunity to work directly with cutting-edge data service technology company, directly with the SourceScrub team.
What is SourceScrub?
SourceScrub is the world's leading data service for firms looking to research, find and connect with privately held companies. Our Private Company Intelligence platform allows deal teams to take a data-driven approach in a traditionally opaque segment of the market. We combine state-of-the-art technology with an unmatched QA process resulting in the freshest and most accurate data set available.
SourceScrub provides research and information management systems that incorporate thousands of online sources from trade show exhibitor lists to industry buyers' guides. SourceScrub is working 24/7 to ensure we offer accurate and current data for prospecting investment opportunities. Our sourcing data and prospecting tools promise to save time and increase deal flow.
We are seeking a talented Data Scientist or Machine Learning Engineer for a company based in San Francisco. You would be working remotely in the PST time zone with a team creating algorithms and writing functions related to Machine Learning with large data sets.
If you have experience with Python and a strong interest in Machine Learning or any experience with platforms related to Machine Learning, we want to talk with you!
Very competitive salaries for working remotely in Mexico!
At least 3 years in a professional environment developing Data Science and Machine Learning code - deployed into production. Ability to take ownership and act with some independence - identifying tasks that align with leadership-defined stories and epics.
Experience with Python core data science libraries as well as deep learning frameworks – Keras, TensorFlow. Understanding of execution and deployment methods - submitting jobs to clusters, provisioning clusters in cloud-hosted spark environments (Databricks), understanding of the need for GPU processing, and deploying to memory or compute-intensive clusters where appropriate.
Natural Language Processing / Understanding (NLP/NLU) experience. Knowledge of core language processing techniques – n-gram tokenization, document term matrixes, term frequency, stemming, lemmatization, sentiment analysis, and topic modeling. Understanding of language classification and clustering patterns – and ability to implement patterns as deployable code with some independence.
Experience with data prep, tuning, and optimizing NLP models. Knowledge of techniques to mitigate challenges of NLP classification.
Experience with production deployments of models in batch and real-time. Ability to recognize trade-offs of different data processing and modeling methods - I.e. - single-threaded, parallel processing, etc.
Key skills: production deployments, Python, PySpark, Databricks, Spark SQL, model validation, NLP/NLU, classification, clustering, TensorFlow, Keras. Experience with cloud-first, cloud-focused data exploration, model development, and deployments.
Benefits
Referral program
Work-Life Balance
Career development
PTO: 12 days the 1st year (increases 2 days each year)
Official Mexican holidays
Tipo de puesto: Tiempo completo, Por tiempo indeterminado
Sueldo: $90,000.00 - $110,000.00 al mes
Horario:
Turno de 8 horas
Prestaciones:
Aumentos salariales
Vacaciones adicionales o permisos con goce de sueldo
Educación:
Licenciatura terminada (Deseable)
Experiencia:
Python: 3 años (Obligatorio)
Machine Learning: 2 años (Obligatorio)
Natural Language Processing / Understanding (NLP/NLU): 1 año (Deseable)
Idioma:
Inglés (Obligatorio)
Lugar de trabajo: Empleo remoto
Fecha de inicio prevista: 04/02/2022
Mostrar menos
Reportar",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8,"PayPal
4.0",Data Scientist,Ciudad de México,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job Description Summary:
Job Description:
What you need to know about the role:
PayPal’s Global Decision Strategy Team identifies fraudulent transaction real time by leveraging state-of-the-art technology to detect and mitigate fraud without impacting the customer experience. As a Data Scientist, you will be leading this effort by building, developing, and implementing fraud strategies which drive impactful business results across the global organization.
Meet our team:
PayPal’s Data Science team combines AI, machine learning, with customer data and behavior to innovate fraud solutions. Through close collaboration with business partners, scientists, and engineering teams, we translate insights into solutions that protect our customers, partners, and PayPal business around the globe.
Your way to impact:
PayPal’s Decision Scientists deeply understand our business objectives and the potential for financial impact through Fraud Risk Management. As a Data Scientist, you will collaborate with a team that builds strategy for fraud prevention, partners to deliver solutions, and provides analytics and governance over financial and operational metrics. These solutions will adapt PayPal’s advanced proprietary fraud prevention and experience mechanisms in enabling growth.
Our Benefits:

At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.

We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com

Who We Are:

To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspx

PayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.
PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.
As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.
Postúlate ahora: haz clic en Postularse ahora
Mostrar menos
Reportar",#N/A,Más de 10 000 empleados,Empresa - pública,Tecnologías de la información,Internet y Servicios web,1998,Más de $10 000 millones (USD)
9,"Hogares Unión S. A de C. V
3.3",Data Scientist,México,"Somos parte de GIM desarrollos una empresa con más de 40 años de experiencia como líderes en el sector inmobiliario, en constante transformación digital y con un foco centrado en la experiencia de compra de nuestros clientes que busca integrar talento con esta misma visión.

DATA SCIENTIST

Te consideras una persona experta en recopilar, analizar interpretar y extraer información con visón y toma de decisión. Esto es para ti.

¿Cuáles serán tus actividades?

Recopilar, limpiar y organizar grandes conjuntos de datos provenientes de diversas fuentes, incluyendo el CRM (HubSpot) y otras fuentes relevantes.

Realizar análisis exploratorio de datos para identificar patrones, tendencias y relaciones que puedan afectar las tasas de conversión.

Aplicar técnicas estadísticas y algoritmos de aprendizaje automático (machine learning) para desarrollar modelos predictivos y descriptivos que ayuden a comprender y predecir el comportamiento de los clientes potenciales.

Trabajar en colaboración con el equipo de marketing y ventas para definir y medir los KPIs relevantes, así como evaluar y optimizar las estrategias de marketing y ventas en función de los resultados obtenidos.

Guiar la creación de informes y visualizaciones, claras y concisas utilizando herramientas como Power BI para comunicar los insights derivados del análisis de datos de manera efectiva al equipo y a los stakeholders.

¿Qué esperamos de ti?

Experiencia mínima de 1 año en análisis de datos, manipulación de bases de datos y aplicaciones de aprendizaje automático.

Fuertes habilidades analíticas y capacidad para interpretar y comunicar los resultados de manera clara y concisa.

Conocimiento y experiencia en el uso de herramientas de análisis de datos como Python, R, SQL, y plataformas de visualización como Power BI.

Familiaridad con técnicas de aprendizaje automático y estadísticas, como regresión, clasificación, clustering, árboles de decisión, etc.

Capacidad para trabajar en equipo, comunicarse de manera efectiva y colaborar con diferentes departamentos y partes interesadas para lograr los objetivos comerciales.

¿Qué ofrecemos?

Una empresa en constante transformación con ambiente que favorece la creatividad, la expresión de las ideas, la innovación y puesta en marcha de diversos proyectos

Sueldo Base

Formato de trabajo Híbrido

Prestaciones básicas de ley

Entrenamiento constante y crecimiento profesional
Mostrar menos
Reportar","$32,000 /mes (est.)",De 1001 a 5000 empleados,Empresa - privada,#N/A,#N/A,#N/A,Desconocido/no corresponde
